#
# Copyright (c) 2006 Vanderbilt University, ISIS
#
#file	weapon	shockwave_start	shockwave_end	muzzleblast_start	mic_shooter_dist(m)
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy1\recording_059b_0.wav	ak47	2298	2556	22992	0
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s1_0.wav	m16	9730	9904	18044	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s1_1.wav	m16	9678	9856	17882	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s1_2.wav	m16	9890	10068	18114	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s1_3.wav	m16	9602	9778	17994	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s2_0.wav	m16	9112	9290	27092	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s2_1.wav	m16	8836	9012	27040	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s2_2.wav	m16	8916	9092	27226	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_000_s2_3.wav	m16	9196	9376	27292	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s1_0.wav	m16	9990	10166	17716	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s1_1.wav	m16	10206	10382	17968	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s1_2.wav	m16	9920	10094	17836	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s1_3.wav	m16	10050	10222	17890	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s2_0.wav	m16	9992	10168	27216	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s2_1.wav	m16	9716	9892	27144	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s2_2.wav	m16	9800	9978	27326	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_001_s2_3.wav	m16	10080	10260	27420	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s1_0.wav	m16	9992	10166	17940	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s1_1.wav	m16	10202	10378	18188	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s1_2.wav	m16	9916	10090	18062	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s1_3.wav	m16	10044	10218	18118	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s2_0.wav	m16	9990	10164	27646	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s2_1.wav	m16	9714	9888	27592	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s2_2.wav	m16	9796	9972	27784	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_002_s2_3.wav	m16	10078	10254	27844	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s1_0.wav	m16	9990	10162	17538	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s1_1.wav	m16	10204	10376	17780	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s1_2.wav	m16	9918	10088	17650	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s1_3.wav	m16	10044	10214	17702	16.10616383
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s2_0.wav	m16	9990	10162	27050	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s2_1.wav	m16	9716	9890	26984	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s2_2.wav	m16	9800	9976	27176	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_003_s2_3.wav	m16	10078	10256	27246	9.330066907
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s1_0.wav	m16	9990	10164	38862	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s1_1.wav	m16	10208	10380	39082	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s1_2.wav	m16	9924	10094	39030	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s1_3.wav	m16	10058	10230	39048	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s2_0.wav	m16	9990	10160	48648	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s2_1.wav	m16	9360	9530	48626	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s2_2.wav	m16	9806	9978	48818	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_004_s2_3.wav	m16	10082	10256	48846	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s1_0.wav	m16	9990	10162	39200	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s1_1.wav	m16	10204	10376	39422	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s1_2.wav	m16	9922	10092	39364	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s1_3.wav	m16	10064	10234	39388	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s2_0.wav	m16	9990	10162	49094	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s2_1.wav	m16	9718	9890	49072	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s2_2.wav	m16	9802	9976	49266	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_005_s2_3.wav	m16	10080	10254	49288	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s1_0.wav	m16	9990	10166	137098	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s1_1.wav	m16	10206	10382	137312	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s1_2.wav	m16	9926	10100	137292	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s1_3.wav	m16	10062	10236	137308	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s2_0.wav	m16	9990	10160	146630	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s2_1.wav	m16	9722	9892	146636	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s2_2.wav	m16	9812	9986	146830	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_006_s2_3.wav	m16	10084	10258	146818	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s1_0.wav	m16	9828	10000	136800	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s1_1.wav	m16	9942	10114	136810	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s1_2.wav	m16	9886	10060	136612	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s1_3.wav	m16	10108	10284	136822	84.6017685
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s2_0.wav	m16	9992	10164	146294	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s2_1.wav	m16	9724	9896	146298	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s2_2.wav	m16	9816	9990	146494	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_007_s2_3.wav	m16	10086	10264	146496	77.7461098
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s1_0.wav	m16	9988	10156	30096	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s1_1.wav	m16	10206	10372	30320	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s1_2.wav	m16	9924	10088	30254	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s1_3.wav	m16	10066	10232	30282	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s2_0.wav	m16	9990	10164	39634	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s2_1.wav	m16	9718	9892	39602	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s2_2.wav	m16	9806	9980	39800	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_008_s2_3.wav	m16	10084	10260	39832	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s1_0.wav	m16	9992	10162	29298	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s1_1.wav	m16	10208	10378	29524	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s1_2.wav	m16	9930	10098	29454	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s1_3.wav	m16	10068	10238	29484	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s2_0.wav	m16	9990	10158	38668	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s2_1.wav	m16	9722	9890	38638	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s2_2.wav	m16	9814	9984	38836	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_009_s2_3.wav	m16	10088	10258	38866	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s1_0.wav	m16	9124	9292	28754	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s1_1.wav	m16	8844	9010	28686	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s1_2.wav	m16	8976	9144	28714	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s1_3.wav	m16	8908	9078	28528	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s2_0.wav	m16	9990	10158	39220	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s2_1.wav	m16	9720	9888	39190	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s2_2.wav	m16	9810	9980	39386	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_010_s2_3.wav	m16	10084	10256	39418	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_011_s2_0.wav	m4	8762	8932	39620	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_011_s2_1.wav	m4	8498	8666	39596	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_011_s2_2.wav	m4	8590	8764	39792	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_011_s2_3.wav	m4	8862	9034	39818	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s1_0.wav	m4	9990	10156	33734	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s1_1.wav	m4	10204	10368	33956	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s1_2.wav	m4	9922	10084	33896	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s1_3.wav	m4	10062	10226	33922	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s2_0.wav	m4	9992	10164	40496	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s2_1.wav	m4	9726	9900	40472	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s2_2.wav	m4	9820	9994	40670	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_013_s2_3.wav	m4	10090	10266	40694	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_014_s1_0.wav	m4	9992	10160	33626	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_014_s1_1.wav	m4	10208	10378	33848	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_014_s1_2.wav	m4	9928	10096	33784	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_014_s1_3.wav	m4	10058	10226	33812	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s1_0.wav	m4	9992	10162	33920	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s1_1.wav	m4	10208	10380	34144	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s1_2.wav	m4	9926	10094	34076	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s1_3.wav	m4	10054	10224	34106	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s2_0.wav	m4	8984	9152	42622	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s2_1.wav	m4	8710	8878	42594	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s2_2.wav	m4	8796	8966	42790	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_015_s2_3.wav	m4	9072	9244	42820	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s1_0.wav	ak47	9992	10208	26760	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s1_1.wav	ak47	10214	10434	26988	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s1_2.wav	ak47	9940	10156	26914	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s1_3.wav	ak47	10076	10292	26946	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s2_0.wav	ak47	9992	10204	35248	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s2_1.wav	ak47	9728	9942	35210	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s2_2.wav	ak47	9828	10044	35406	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_016_s2_3.wav	ak47	10094	10310	35446	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s1_0.wav	ak47	9992	10206	27528	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s1_1.wav	ak47	10212	10428	27758	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s1_2.wav	ak47	9934	10148	27680	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s1_3.wav	ak47	10078	10292	27712	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s2_0.wav	ak47	9992	10206	36154	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s2_1.wav	ak47	9728	9946	36118	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s2_2.wav	ak47	9824	10044	36314	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_017_s2_3.wav	ak47	10094	10312	36354	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s1_0.wav	ak47	9992	10206	27104	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s1_1.wav	ak47	10216	10432	27334	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s1_2.wav	ak47	9942	10154	27254	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s1_3.wav	ak47	10074	10286	27286	20.65512008
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s2_0.wav	ak47	9992	10200	35476	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s2_1.wav	ak47	9732	9942	35438	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s2_2.wav	ak47	9832	10044	35632	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_018_s2_3.wav	ak47	10096	10308	35674	13.84073945
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s1_0.wav	ak47	9992	10204	34136	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s1_1.wav	ak47	10220	10436	34354	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s1_2.wav	ak47	9950	10162	34306	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s1_3.wav	ak47	10070	10282	34326	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s2_0.wav	ak47	9992	10206	42420	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s2_1.wav	ak47	9736	9952	42402	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s2_2.wav	ak47	9840	10060	42600	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_019_s2_3.wav	ak47	10102	10322	42618	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s1_0.wav	ak47	9992	10202	33686	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s1_1.wav	ak47	10218	10432	33904	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s1_2.wav	ak47	9950	10160	33854	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s1_3.wav	ak47	10082	10290	33872	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s2_0.wav	ak47	9990	10204	41826	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s2_1.wav	ak47	9738	9952	41802	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s2_2.wav	ak47	9842	10058	41998	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_020_s2_3.wav	ak47	10102	10318	42022	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s1_0.wav	m4	9992	10166	35512	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s1_1.wav	m4	10214	10388	35728	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s1_2.wav	m4	9938	10110	35680	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s1_3.wav	m4	10070	10244	35698	25.21241411
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s2_0.wav	m4	9992	10168	44316	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s2_1.wav	m4	9730	9906	44300	18.38173976
P:\NEST\ASSIST\Aberdeen 2006 April\shot_lib\PoliceAcademy2\recording_022_s2_2.wav	m4	9828	10004	44496	18.38173976
